k,silhouette
2,0.21614861723892698
3,0.22153419596492982
4,0.22368009227883998
5,0.14204295210351883
6,0.1481445478138412
7,0.14370538742867195
8,0.15719700828296806
9,0.16956729335026854
10,0.17456276939173185
