field,cluster,value,cells,within_cluster_fraction
sample,12,MSC5-Dura,218,0.048240761230360696
sample,12,MSC6,2844,0.6293427749502102
sample,12,MSC6-BTI,517,0.11440584200044257
sample,13,MSC1,3,0.004201680672268907
sample,13,MSC2,6,0.008403361344537815
sample,13,MSC3,15,0.02100840336134454
sample,13,MSC4,11,0.015406162464985995
sample,13,MSC4-Dura,44,0.06162464985994398
sample,13,MSC5,13,0.018207282913165267
sample,13,MSC5-BTI,17,0.023809523809523808
sample,13,MSC5-Dura,5,0.0070028011204481795
sample,13,MSC6,109,0.15266106442577032
sample,13,MSC6-BTI,491,0.6876750700280112
sample,14,MSC1,0,0.0
sample,14,MSC2,0,0.0
sample,14,MSC3,3,0.00034067681126504656
sample,14,MSC4,0,0.0
sample,14,MSC4-Dura,0,0.0
sample,14,MSC5,8380,0.9516238928003634
sample,14,MSC5-BTI,419,0.04758119464001817
sample,14,MSC5-Dura,2,0.0002271178741766977
sample,14,MSC6,1,0.00011355893708834885
sample,14,MSC6-BTI,1,0.00011355893708834885
sample,15,MSC1,0,0.0
sample,15,MSC2,0,0.0
sample,15,MSC3,0,0.0
sample,15,MSC4,0,0.0
sample,15,MSC4-Dura,0,0.0
sample,15,MSC5,0,0.0
sample,15,MSC5-BTI,0,0.0
sample,15,MSC5-Dura,0,0.0
sample,15,MSC6,1234,0.5755597014925373
sample,15,MSC6-BTI,910,0.4244402985074627
sample,16,MSC1,0,0.0
sample,16,MSC2,0,0.0
sample,16,MSC3,0,0.0
sample,16,MSC4,0,0.0
sample,16,MSC4-Dura,0,0.0
sample,16,MSC5,0,0.0
sample,16,MSC5-BTI,0,0.0
sample,16,MSC5-Dura,0,0.0
sample,16,MSC6,2240,0.3314590115418763
sample,16,MSC6-BTI,4518,0.6685409884581237
sample,2,MSC1,1759,0.9926636568848759
sample,2,MSC2,0,0.0
sample,2,MSC3,0,0.0
sample,2,MSC4,11,0.006207674943566591
sample,2,MSC4-Dura,0,0.0
sample,2,MSC5,2,0.001128668171557562
sample,2,MSC5-BTI,0,0.0
sample,2,MSC5-Dura,0,0.0
sample,2,MSC6,0,0.0
sample,2,MSC6-BTI,0,0.0
sample,3,MSC1,168,0.04296675191815857
sample,3,MSC2,754,0.19283887468030692
sample,3,MSC3,127,0.03248081841432225
sample,3,MSC4,686,0.17544757033248082
sample,3,MSC4-Dura,36,0.009207161125319692
sample,3,MSC5,1089,0.2785166240409207
sample,3,MSC5-BTI,699,0.17877237851662403
sample,3,MSC5-Dura,33,0.00843989769820972
sample,3,MSC6,97,0.024808184143222507
sample,3,MSC6-BTI,221,0.05652173913043478
sample,4,MSC1,54,0.04691572545612511
sample,4,MSC2,14,0.01216333622936577
sample,4,MSC3,26,0.022589052997393572
sample,4,MSC4,137,0.11902693310165074
sample,4,MSC4-Dura,188,0.1633362293657689
sample,4,MSC5,215,0.18679409209383144
sample,4,MSC5-BTI,204,0.17723718505647262
sample,4,MSC5-Dura,44,0.038227628149435276
sample,4,MSC6,140,0.12163336229365769
sample,4,MSC6-BTI,129,0.11207645525629888
sample,5,MSC1,1,0.00041152263374485596
sample,5,MSC2,1,0.00041152263374485596
sample,5,MSC3,1,0.00041152263374485596
sample,5,MSC4,1656,0.6814814814814815
sample,5,MSC4-Dura,6,0.0024691358024691358
sample,5,MSC5,256,0.10534979423868313
sample,5,MSC5-BTI,161,0.0662551440329218
sample,5,MSC5-Dura,144,0.05925925925925926
sample,5,MSC6,56,0.023045267489711935
sample,5,MSC6-BTI,148,0.060905349794238686
sample,6,MSC1,13,0.0042706964520367935
sample,6,MSC2,14,0.0045992115637319315
sample,6,MSC3,4,0.001314060446780552
sample,6,MSC4,2675,0.878777923784494
sample,6,MSC4-Dura,298,0.09789750328515112
sample,6,MSC5,6,0.0019710906701708277
sample,6,MSC5-BTI,1,0.000328515111695138
sample,6,MSC5-Dura,30,0.00985545335085414
sample,6,MSC6,1,0.000328515111695138
sample,6,MSC6-BTI,2,0.000657030223390276
sample,7,MSC1,5,0.001839587932303164
sample,7,MSC2,4,0.0014716703458425313
sample,7,MSC3,13,0.004782928623988227
sample,7,MSC4,18,0.006622516556291391
sample,7,MSC4-Dura,72,0.026490066225165563
