replicate,cells,status,n_clusters_reclustered,mean_pairwise_ari,min_pairwise_ari,mean_pairwise_nmi,min_pairwise_nmi,ari_global_vs_within_replicate,silhouette,calinski_harabasz,davies_bouldin,metric_cells
1,2538,descriptive_only,9,0.8415620338377086,0.7455124580753849,0.858745315930299,0.7978533024385841,0.24306576461414042,0.11364084482192993,344.9995260933883,1.9610711928878335,2538
2,914,descriptive_only,7,0.713459616534938,0.5845596562675834,0.7541532072929923,0.6700246015325988,0.1453014760673568,0.005243764724582434,44.28561140886445,2.9468038217862387,914
3,3287,descriptive_only,9,0.6619387617778454,0.5416989968041733,0.7594998719533883,0.6854881290064354,0.07084192992722643,0.06372282654047012,296.0390989177589,2.3208261516525934,3000
4,9015,descriptive_only,16,0.856865165011248,0.7762082141735207,0.900900826068707,0.8659416242408511,0.6759674173456532,0.12736058235168457,620.0271695679238,1.9778415965487783,3000
5,19544,descriptive_only,16,0.709277920358838,0.5527939547683844,0.8234602176585015,0.7620286495563314,0.5530001124559274,0.11613686382770538,1802.8811438776722,1.8444481737835519,3000
6,23545,descriptive_only,16,0.866771448467583,0.7938808469647755,0.9172887015324586,0.8907324449566347,0.624863452326213,0.14136868715286255,2442.658729022163,1.8435760640554708,3000
