cluster,gene,mean_log1p_in,mean_log1p_out,mean_log1p_difference
0,PTGDS,5.7907609939575195,0.16742035746574402,5.623340606689453
0,SLC26A2,2.974031686782837,0.13674335181713104,2.8372883796691895
0,SLC47A1,2.0297977924346924,0.021190844476222992,2.0086069107055664
0,LYPLAL1,1.656760573387146,0.07069095224142075,1.5860695838928223
0,EPHX1,1.4242513179779053,0.022134089842438698,1.4021172523498535
0,ENPP6,1.3997443914413452,0.02265302650630474,1.377091407775879
0,GLUL,1.5497186183929443,0.23847699165344238,1.311241626739502
0,ALDH2,1.3271925449371338,0.051793891936540604,1.2753986120224
0,GMDS,1.347987174987793,0.07946335524320602,1.2685238122940063
0,PRDX2,1.6413555145263672,0.4144911468029022,1.2268643379211426
0,SLC9B2,1.2414630651474,0.05102889612317085,1.190434217453003
0,SLC4A4,1.2180118560791016,0.02839749865233898,1.1896144151687622
1,CHST12,0.7082609534263611,0.1760568767786026,0.5322040915489197
1,PDE3B,0.4923279285430908,0.007662693504244089,0.48466524481773376
1,TYMP,0.6100326776504517,0.14767852425575256,0.4623541533946991
1,OXNAD1,0.4503685235977173,0.03279896453022957,0.4175695478916168
1,PDE4B,0.461713582277298,0.045262452214956284,0.4164511263370514
1,CHST11,0.4511025547981262,0.04286927357316017,0.40823328495025635
1,SLC7A5,0.4120965003967285,0.04060044884681702,0.3714960515499115
1,ENTPD1,0.3824598789215088,0.0244545079767704,0.3580053746700287
1,CASP8,0.4336391091346741,0.09116619825363159,0.3424729108810425
1,ACP5,0.33127671480178833,0.0012445742031559348,0.3300321400165558
1,IDH2,0.390920490026474,0.07084400951862335,0.32007646560668945
1,PDE4D,0.3676033616065979,0.05388522893190384,0.31371814012527466
