patient,0,1,2,3,4,5
1,0.7013396375098503,0.23286052009456265,0.0,0.0015760441292356187,0.0,0.06422379826635145
2,0.006564551422319475,0.18708971553610504,0.002188183807439825,0.007658643326039387,0.009846827133479213,0.7866520787746171
3,0.0648007301490721,0.18618801338606633,0.0018253726802555522,0.010039549741405538,0.7009431092181321,0.03620322482506845
4,0.38912922906267333,0.542318358291736,0.0005546311702717693,0.0024403771491957847,0.0009983361064891847,0.06455906821963395
5,0.0287556283258289,0.11174785100286533,0.00010233319688907081,0.0048608268522308635,0.7886307818256242,0.0659025787965616
6,0.07309407517519644,0.21189212146952643,0.3310681673391378,0.27143767254194096,4.247186239116585e-05,0.11246549161180718
