replicate,silhouette
1,0.6194330453872681
2,0.6434404253959656
3,0.641701877117157
4,0.6296713948249817
5,0.6424099206924438
6,0.6407668590545654
7,0.63671875
8,0.6362767219543457
9,0.6214706897735596
10,0.5906111001968384
11,0.6467528939247131
12,0.6331449747085571
13,0.5824294090270996
14,0.5975984930992126
15,0.6271845698356628
16,0.6432485580444336
17,0.6629444360733032
18,0.6478191018104553
19,0.623410165309906
