input_symbol,expression_symbol,match_mode,expression_row_1based,prevalence_cells,included_after_prevalence
Nme3,NME3,case_insensitive_unique,25160.0,931.0,True
Nme4,NME4,case_insensitive_unique,25074.0,184.0,True
Nme5,NME5,case_insensitive_unique,9569.0,34.0,True
Nme6,NME6,case_insensitive_unique,5852.0,260.0,True
Nme7,NME7,case_insensitive_unique,2290.0,179.0,True
Nmnat1,NMNAT1,case_insensitive_unique,224.0,72.0,True
Nmnat2,NMNAT2,case_insensitive_unique,2440.0,43.0,True
Nmnat3,NMNAT3,case_insensitive_unique,6595.0,47.0,True
Nnt,NNT,case_insensitive_unique,8854.0,329.0,True
Nos1,NOS1,case_insensitive_unique,21592.0,1.0,False
Nos2,NOS2,case_insensitive_unique,27153.0,2.0,False
Nos3,NOS3,case_insensitive_unique,13237.0,13.0,False
Npl,NPL,case_insensitive_unique,2434.0,34.0,True
Nrd1,,unmatched,,,False
Nsun2,NSUN2,case_insensitive_unique,8587.0,203.0,True
Nsun3,NSUN3,case_insensitive_unique,6194.0,212.0,True
Nsun4,NSUN4,case_insensitive_unique,955.0,148.0,True
Nsun5,NSUN5,case_insensitive_unique,12401.0,305.0,True
Nsun6,NSUN6,case_insensitive_unique,19063.0,267.0,True
Nsun7,NSUN7,case_insensitive_unique,7483.0,10.0,False
Nt5c,NT5C,case_insensitive_unique,28210.0,943.0,True
Nt5c1a,NT5C1A,case_insensitive_unique,811.0,0.0,False
Nt5c1b,NT5C1B,case_insensitive_unique,3344.0,3.0,False
Nt5c2,NT5C2,case_insensitive_unique,19829.0,206.0,True
Nt5c3a,NT5C3A,case_insensitive_unique,12129.0,494.0,True
Nt5c3b,NT5C3B,case_insensitive_unique,27579.0,211.0,True
Nt5dc1,NT5DC1,case_insensitive_unique,11333.0,297.0,True
Nt5dc2,NT5DC2,case_insensitive_unique,5994.0,314.0,True
Nt5dc3,NT5DC3,case_insensitive_unique,21406.0,100.0,True
Nt5dc4,NT5DC4,case_insensitive_unique,4342.0,1.0,False
Nt5e,NT5E,case_insensitive_unique,11150.0,79.0,True
Nt5m,NT5M,case_insensitive_unique,27029.0,67.0,True
Nthl1,NTHL1,case_insensitive_unique,25188.0,231.0,True
Ntpcr,NTPCR,case_insensitive_unique,2964.0,270.0,True
Nudt1,NUDT1,case_insensitive_unique,11846.0,785.0,True
Nudt10,NUDT10,case_insensitive_unique,13701.0,33.0,True
Nudt11,NUDT11,case_insensitive_unique,13705.0,66.0,True
Nudt12,NUDT12,case_insensitive_unique,9290.0,39.0,True
Nudt13,NUDT13,case_insensitive_unique,19454.0,13.0,False
Nudt14,NUDT14,case_insensitive_unique,23724.0,265.0,True
Nudt15,NUDT15,case_insensitive_unique,22141.0,242.0,True
Nudt16,NUDT16,case_insensitive_unique,6519.0,248.0,True
Nudt17,NUDT17,case_insensitive_unique,1717.0,44.0,True
Nudt18,NUDT18,case_insensitive_unique,14634.0,210.0,True
Nudt19,NUDT19,case_insensitive_unique,30954.0,181.0,True
Nudt2,NUDT2,case_insensitive_unique,15960.0,274.0,True
Nudt3,NUDT3,case_insensitive_unique,10741.0,234.0,True
Nudt4,NUDT4,case_insensitive_unique,21309.0,390.0,True
Nudt5,NUDT5,case_insensitive_unique,19002.0,655.0,True
Nudt6,NUDT6,case_insensitive_unique,8056.0,98.0,True
Nudt7,NUDT7,case_insensitive_unique,26342.0,99.0,True
Nudt8,NUDT8,case_insensitive_unique,18098.0,174.0,True
Nudt9,NUDT9,case_insensitive_unique,7818.0,165.0,True
Oat,OAT,case_insensitive_unique,19997.0,382.0,True
Obscn,OBSCN,case_insensitive_unique,2900.0,66.0,True
Odc1,ODC1,case_insensitive_unique,3276.0,1201.0,True
Ogdh,OGDH,case_insensitive_unique,12246.0,352.0,True
