resolution,seed,n_clusters,silhouette,calinski_harabasz,davies_bouldin,metric_cells
0.4,0,15,0.22936132550239563,7176.993934518632,1.5126569440646473,3000
0.4,17,17,0.22109878063201904,6488.3135861830815,1.5168551894758124,3000
0.4,42,16,0.21937447786331177,6787.621176423879,1.520161879833114,3000
0.4,73,17,0.21432903409004211,6311.786731320102,1.480991983658873,3000
0.4,101,16,0.22549283504486084,6681.090741011943,1.4924998016149829,3000
0.8,0,21,0.2188747525215149,5789.190311695641,1.5295237084443376,3000
0.8,17,21,0.21520967781543732,5697.7020868991585,1.553271630097796,3000
0.8,42,21,0.219638392329216,5815.822238937816,1.5539150288831134,3000
0.8,73,20,0.21702992916107178,6085.109931682551,1.5729228602797456,3000
0.8,101,20,0.22268624603748322,6141.4317757513845,1.5596333959559718,3000
1.2,0,30,0.1718035489320755,4352.293801381536,1.7080111763439367,3000
1.2,17,31,0.15553419291973114,4293.468396054075,1.7461978924050572,3000
1.2,42,33,0.15202300250530243,3991.860780180015,1.713884648646839,3000
1.2,73,30,0.15814799070358276,4422.503337453468,1.7385953806761012,3000
1.2,101,29,0.15530554950237274,4443.56880934373,1.76212590655517,3000
