replicate,cells,status,n_clusters_reclustered,mean_pairwise_ari,min_pairwise_ari,mean_pairwise_nmi,min_pairwise_nmi,ari_global_vs_within_replicate,silhouette,calinski_harabasz,davies_bouldin,metric_cells
1,2538,descriptive_only,6,0.8132502620043699,0.648581096483231,0.8671288667482127,0.7877836615221263,0.36522085525587267,0.12365397810935974,743.4195352114541,1.9423502520780298,2538
2,914,descriptive_only,4,0.5912104732658301,0.4006330122969884,0.6740123820140318,0.530990092148551,0.21655615736241396,0.06635060906410217,96.15078388414415,2.493983346030316,914
3,3287,descriptive_only,8,0.5799037250737584,0.3860599239015099,0.7019361393712035,0.6199269987249372,0.10610663767991088,0.1023024469614029,378.4036218631935,1.7931478277471424,3000
4,9015,descriptive_only,12,0.9686915969881664,0.9472993349772358,0.9684988543200896,0.9527336691506866,0.8119380522748101,0.22731539607048035,879.5240351281161,1.6487737872793167,3000
5,19544,descriptive_only,13,0.8240020892080485,0.7384431487178037,0.890527118044415,0.8510463502992384,0.813369096681245,0.13689768314361572,2043.0843640131066,1.688740929498023,3000
6,23545,descriptive_only,12,0.9312701656144631,0.8998676362267581,0.9318001456537675,0.9169426687714053,0.7399129645046054,0.1753091663122177,2947.924489647773,1.5486617784326067,3000
