resolution,seed,n_clusters,silhouette,calinski_harabasz,davies_bouldin,metric_cells
0.4,0,6,0.09877394884824753,399.0818721500154,2.099185446658115,3000
0.4,17,6,0.10013430565595627,394.6876369122664,2.1658037347929064,3000
0.4,42,5,0.1207941472530365,432.393207617573,2.0349761777782356,3000
0.4,73,5,0.12000919878482819,437.02997002157565,2.0721419950835047,3000
0.4,101,4,0.11710669100284576,518.6248643211853,2.0577039915032516,3000
0.8,0,7,0.08666332811117172,334.1883534618487,2.1884106126029095,3000
0.8,17,7,0.05797884240746498,337.5829593799034,2.7734692942237382,3000
0.8,42,7,0.06809818744659424,323.8428324750705,2.501951648670596,3000
0.8,73,8,0.05462045222520828,296.95469406204194,2.776448432797796,3000
0.8,101,7,0.06655804067850113,320.7142266616693,2.4910282915775257,3000
1.2,0,12,0.03663085773587227,196.11991338963333,4.048879338185801,3000
1.2,17,13,0.03613898903131485,183.05628022053276,4.02504923893082,3000
1.2,42,11,0.030908258631825447,209.28045104660416,4.4112007857431275,3000
1.2,73,12,0.030297597870230675,191.17049452654555,4.024809289506191,3000
1.2,101,13,0.03259018436074257,176.71284280506535,3.923336042939967,3000
