field,kind,levels,nmi_with_cluster,ari_with_cluster,eta_squared
patient,categorical,6,0.3934021350739383,0.4007701908801433,
sample,categorical,10,0.4429005416166666,0.43685656320291977,
source,categorical,3,0.3473174298703783,0.28414253538024786,
cell_cycle_phase,categorical,5,0.27380724445207655,0.2262246932432025,
complexity,numeric,,,,0.6941633083274916
computed_total_counts,numeric,,,,0.7460502578283934
computed_detected_genes,numeric,,,,0.6941609693356686
computed_mito_percent,numeric,,,,0.2833847087679338
