field,cluster,value,cells,within_cluster_fraction
patient,0,1,525,0.48253676470588236
patient,0,2,32,0.029411764705882353
patient,0,3,120,0.11029411764705882
patient,0,4,363,0.3336397058823529
patient,0,5,36,0.03308823529411765
patient,0,6,12,0.011029411764705883
patient,1,1,1761,0.9988655700510494
patient,1,2,0,0.0
patient,1,3,1,0.0005672149744753262
patient,1,4,1,0.0005672149744753262
patient,1,5,0,0.0
patient,1,6,0,0.0
patient,10,1,3,0.0011398176291793312
patient,10,2,5,0.001899696048632219
patient,10,3,4,0.001519756838905775
patient,10,4,1844,0.7006079027355623
patient,10,5,577,0.21922492401215807
patient,10,6,199,0.07560790273556231
patient,11,1,0,0.0
patient,11,2,0,0.0
patient,11,3,0,0.0
patient,11,4,0,0.0
patient,11,5,6724,1.0
patient,11,6,0,0.0
patient,12,1,0,0.0
patient,12,2,0,0.0
patient,12,3,0,0.0
patient,12,4,0,0.0
patient,12,5,0,0.0
patient,12,6,8985,1.0
patient,13,1,0,0.0
patient,13,2,0,0.0
patient,13,3,1,0.00011363636363636364
patient,13,4,0,0.0
patient,13,5,8797,0.9996590909090909
patient,13,6,2,0.00022727272727272727
patient,14,1,0,0.0
patient,14,2,0,0.0
patient,14,3,0,0.0
patient,14,4,4,0.002326934264107039
patient,14,5,201,0.1169284467713787
patient,14,6,1514,0.8807446189645143
patient,2,1,171,0.042986425339366516
patient,2,2,757,0.19029663147310205
patient,2,3,133,0.033433886375062845
patient,2,4,749,0.1882855706385118
patient,2,5,1875,0.471342383107089
patient,2,6,293,0.07365510306686777
patient,3,1,0,0.0
patient,3,2,1,0.00016736401673640169
patient,3,3,1,0.00016736401673640169
patient,3,4,7,0.0011715481171548118
patient,3,5,104,0.017405857740585774
patient,3,6,5862,0.9810878661087866
patient,4,1,3,0.0010842067220816769
patient,4,2,4,0.0014456089627755693
patient,4,3,15,0.005421033610408385
patient,4,4,120,0.04336826888326708
patient,4,5,43,0.01554029634983737
patient,4,6,2582,0.9331405854716299
patient,5,1,47,0.046906187624750496
patient,5,2,11,0.010978043912175649
patient,5,3,19,0.018962075848303395
patient,5,4,132,0.1317365269461078
patient,5,5,490,0.48902195608782434
patient,5,6,303,0.3023952095808383
patient,6,1,5,0.0011304544426859599
patient,6,2,41,0.00926972643002487
patient,6,3,10,0.0022609088853719197
patient,6,4,669,0.15125480443138142
patient,6,5,369,0.08342753787022383
patient,6,6,3329,0.752656567940312
patient,7,1,21,0.006741573033707865
patient,7,2,20,0.006420545746388443
patient,7,3,6,0.0019261637239165329
patient,7,4,3033,0.9736757624398074
patient,7,5,34,0.010914927768860353
patient,7,6,1,0.00032102728731942215
patient,8,1,1,0.0003508771929824561
patient,8,2,3,0.0010526315789473684
patient,8,3,2,0.0007017543859649122
patient,8,4,2093,0.7343859649122807
patient,8,5,288,0.10105263157894737
patient,8,6,463,0.1624561403508772
patient,9,1,1,0.00033090668431502316
patient,9,2,40,0.013236267372600927
patient,9,3,2975,0.9844473858371939
patient,9,4,0,0.0
patient,9,5,6,0.001985440105890139
patient,9,6,0,0.0
sample,0,MSC1,525,0.48253676470588236
sample,0,MSC2,32,0.029411764705882353
sample,0,MSC3,120,0.11029411764705882
sample,0,MSC4,341,0.3134191176470588
sample,0,MSC4-Dura,22,0.02022058823529412
sample,0,MSC5,22,0.02022058823529412
sample,0,MSC5-BTI,8,0.007352941176470588
sample,0,MSC5-Dura,6,0.0055147058823529415
sample,0,MSC6,6,0.0055147058823529415
sample,0,MSC6-BTI,6,0.0055147058823529415
sample,1,MSC1,1761,0.9988655700510494
sample,1,MSC2,0,0.0
sample,1,MSC3,1,0.0005672149744753262
sample,1,MSC4,1,0.0005672149744753262
sample,1,MSC4-Dura,0,0.0
sample,1,MSC5,0,0.0
sample,1,MSC5-BTI,0,0.0
sample,1,MSC5-Dura,0,0.0
sample,1,MSC6,0,0.0
sample,1,MSC6-BTI,0,0.0
sample,10,MSC1,3,0.0011398176291793312
sample,10,MSC2,5,0.001899696048632219
sample,10,MSC3,4,0.001519756838905775
sample,10,MSC4,1711,0.6500759878419453
sample,10,MSC4-Dura,133,0.05053191489361702
sample,10,MSC5,266,0.10106382978723404
sample,10,MSC5-BTI,161,0.061170212765957445
sample,10,MSC5-Dura,150,0.056990881458966566
sample,10,MSC6,54,0.020516717325227963
sample,10,MSC6-BTI,145,0.055091185410334344
sample,11,MSC1,0,0.0
sample,11,MSC2,0,0.0
sample,11,MSC3,0,0.0
sample,11,MSC4,0,0.0
sample,11,MSC4-Dura,0,0.0
sample,11,MSC5,129,0.019185008923259965
sample,11,MSC5-BTI,6595,0.9808149910767401
sample,11,MSC5-Dura,0,0.0
sample,11,MSC6,0,0.0
sample,11,MSC6-BTI,0,0.0
sample,12,MSC1,0,0.0
sample,12,MSC2,0,0.0
sample,12,MSC3,0,0.0
sample,12,MSC4,0,0.0
sample,12,MSC4-Dura,0,0.0
sample,12,MSC5,0,0.0
sample,12,MSC5-BTI,0,0.0
sample,12,MSC5-Dura,0,0.0
sample,12,MSC6,3454,0.3844184752365053
sample,12,MSC6-BTI,5531,0.6155815247634947
sample,13,MSC1,0,0.0
sample,13,MSC2,0,0.0
sample,13,MSC3,1,0.00011363636363636364
sample,13,MSC4,0,0.0
sample,13,MSC4-Dura,0,0.0
sample,13,MSC5,8384,0.9527272727272728
sample,13,MSC5-BTI,412,0.04681818181818182
sample,13,MSC5-Dura,1,0.00011363636363636364
sample,13,MSC6,1,0.00011363636363636364
sample,13,MSC6-BTI,1,0.00011363636363636364
sample,14,MSC1,0,0.0
sample,14,MSC2,0,0.0
sample,14,MSC3,0,0.0
sample,14,MSC4,3,0.0017452006980802793
sample,14,MSC4-Dura,1,0.0005817335660267597
sample,14,MSC5,6,0.0034904013961605585
sample,14,MSC5-BTI,191,0.1111111111111111
sample,14,MSC5-Dura,4,0.002326934264107039
sample,14,MSC6,84,0.04886561954624782
sample,14,MSC6-BTI,1430,0.8318789994182665
sample,2,MSC1,171,0.042986425339366516
sample,2,MSC2,757,0.19029663147310205
sample,2,MSC3,133,0.033433886375062845
sample,2,MSC4,703,0.1767219708396179
sample,2,MSC4-Dura,46,0.011563599798893917
sample,2,MSC5,1112,0.27953745600804425
sample,2,MSC5-BTI,726,0.18250377073906485
sample,2,MSC5-Dura,37,0.00930115635997989
sample,2,MSC6,115,0.028908999497234793
sample,2,MSC6-BTI,178,0.04474610356963298
sample,3,MSC1,0,0.0
sample,3,MSC2,1,0.00016736401673640169
sample,3,MSC3,1,0.00016736401673640169
sample,3,MSC4,7,0.0011715481171548118
sample,3,MSC4-Dura,0,0.0
sample,3,MSC5,45,0.007531380753138075
sample,3,MSC5-BTI,44,0.007364016736401673
sample,3,MSC5-Dura,15,0.002510460251046025
sample,3,MSC6,2341,0.3917991631799163
sample,3,MSC6-BTI,3521,0.5892887029288703
sample,4,MSC1,3,0.0010842067220816769
sample,4,MSC2,4,0.0014456089627755693
sample,4,MSC3,15,0.005421033610408385
sample,4,MSC4,13,0.0046982291290206
sample,4,MSC4-Dura,107,0.038670039754246474
sample,4,MSC5,2,0.0007228044813877846
sample,4,MSC5-BTI,8,0.0028912179255511385
sample,4,MSC5-Dura,33,0.011926273942898446
sample,4,MSC6,1089,0.3935670401156487
sample,4,MSC6-BTI,1493,0.5395735453559812
sample,5,MSC1,47,0.046906187624750496
sample,5,MSC2,11,0.010978043912175649
sample,5,MSC3,19,0.018962075848303395
sample,5,MSC4,94,0.09381237524950099
sample,5,MSC4-Dura,38,0.03792415169660679
sample,5,MSC5,232,0.2315369261477046
sample,5,MSC5-BTI,224,0.22355289421157684
sample,5,MSC5-Dura,34,0.033932135728542916
sample,5,MSC6,159,0.15868263473053892
sample,5,MSC6-BTI,144,0.1437125748502994
sample,6,MSC1,5,0.0011304544426859599
sample,6,MSC2,41,0.00926972643002487
sample,6,MSC3,10,0.0022609088853719197
sample,6,MSC4,265,0.05991408546235587
sample,6,MSC4-Dura,404,0.09134071896902554
sample,6,MSC5,95,0.021478634411033235
sample,6,MSC5-BTI,58,0.013113271535157133
sample,6,MSC5-Dura,216,0.04883563192403346
sample,6,MSC6,2835,0.6409676690029392
sample,6,MSC6-BTI,494,0.11168889893737283
sample,7,MSC1,21,0.006741573033707865
sample,7,MSC2,20,0.006420545746388443
sample,7,MSC3,6,0.0019261637239165329
sample,7,MSC4,2706,0.8686998394863563
sample,7,MSC4-Dura,327,0.10497592295345104
sample,7,MSC5,6,0.0019261637239165329
sample,7,MSC5-BTI,1,0.00032102728731942215
sample,7,MSC5-Dura,27,0.008667736757624398
sample,7,MSC6,0,0.0
sample,7,MSC6-BTI,1,0.00032102728731942215
sample,8,MSC1,1,0.0003508771929824561
sample,8,MSC2,3,0.0010526315789473684
sample,8,MSC3,2,0.0007017543859649122
sample,8,MSC4,2026,0.7108771929824561
sample,8,MSC4-Dura,67,0.023508771929824562
