input_symbol,expression_symbol,match_mode,expression_row_1based,prevalence_cells,included_after_prevalence
ADPRM,ADPRM,exact,26929.0,4137.0,True
ADRA2A,ADRA2A,exact,19884.0,910.0,True
ADRA2C,ADRA2C,exact,7231.0,932.0,True
ADRM1,ADRM1,exact,29932.0,30213.0,True
ADSL,ADSL,exact,32762.0,10518.0,True
ADSS1,,unmatched,,,False
ADSS2,,unmatched,,,False
AFMID,AFMID,exact,28302.0,6045.0,True
AGK,AGK,exact,13034.0,6200.0,True
AGL,AGL,exact,1429.0,12458.0,True
AGMAT,AGMAT,exact,334.0,1094.0,True
AGMO,AGMO,exact,11952.0,3905.0,True
AGPAT1,AGPAT1,exact,10673.0,18561.0,True
AGPAT2,AGPAT2,exact,16878.0,14395.0,True
AGPAT3,AGPAT3,exact,33376.0,11370.0,True
AGPAT4,AGPAT4,exact,11697.0,7001.0,True
AGPAT5,AGPAT5,exact,14457.0,10467.0,True
AGPS,AGPS,exact,4793.0,12859.0,True
AGRN,AGRN,exact,30.0,16295.0,True
AGT,AGT,exact,2937.0,5324.0,True
AGXT,AGXT,exact,5398.0,7.0,False
AGXT2,AGXT2,exact,8770.0,1.0,False
AHCY,AHCY,exact,29545.0,19650.0,True
AHCYL1,AHCYL1,exact,1529.0,28866.0,True
AHR,AHR,exact,11970.0,11133.0,True
AHRR,AHRR,exact,8509.0,342.0,True
AIMP1,AIMP1,exact,7945.0,28265.0,True
AIMP2,AIMP2,exact,11892.0,16941.0,True
AIP,AIP,exact,18090.0,27957.0,True
AK1,AK1,exact,16665.0,9553.0,True
AK2,AK2,exact,705.0,21415.0,True
AK4,AK4,exact,1168.0,15735.0,True
AK5,AK5,exact,1257.0,1500.0,True
AK6,AK6,exact,9012.0,19150.0,True
AK7,AK7,exact,23576.0,130.0,True
AK8,AK8,exact,16786.0,482.0,True
AK9,AK9,exact,11281.0,4824.0,True
AKAP5,AKAP5,exact,23196.0,2098.0,True
AKR1A1,AKR1A1,exact,937.0,26432.0,True
AKR1B1,AKR1B1,exact,12967.0,26311.0,True
AKR1B10,AKR1B10,exact,12968.0,545.0,True
AKR1B15,AKR1B15,exact,12969.0,6.0,False
AKR1C1,AKR1C1,exact,18924.0,3386.0,True
AKR1C2,AKR1C2,exact,18925.0,3536.0,True
AKR1C3,AKR1C3,exact,18927.0,13207.0,True
AKR1C4,AKR1C4,exact,18928.0,0.0,False
AKR1D1,AKR1D1,exact,12999.0,10.0,False
AKR1E2,AKR1E2,exact,18923.0,545.0,True
AKR7A2,AKR7A2,exact,411.0,27323.0,True
AKR7A3,AKR7A3,exact,410.0,225.0,True
AKR7L,,unmatched,,,False
AKT1,AKT1,exact,23709.0,23815.0,True
ALAD,ALAD,exact,16507.0,8563.0,True
