cell_name,sample,cell_type,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment,Differentiation,Stemness,malignant
MGH54_P12_F07,MGH54,Malignant,5293,2.3449,15.1197,0.0603,-0.0662,Not cycling,0.5209,Translation initiation,"",-0.020892444,0.463274609,yes
MGH54_P12_F08,MGH54,Malignant,6322,2.5389,15.292,-0.1262,0.0762,Not cycling,0.3969,Oligo Progenitor,"",0.268369788,-0.323091861,yes
MGH54_P12_F09,MGH54,Malignant,4983,0.1334,16.8673,0.2383,0.1947,Not cycling,0.8636,Protein maturation,"",0.228542815,-0.282829535,yes
MGH54_P12_F10,MGH54,Malignant,6298,5.5484,17.3767,-0.037,0.0893,Not cycling,0.7605,Oligo Progenitor,"",0.733092351,-0.860030211,yes
MGH54_P12_F11,MGH54,Malignant,6222,0.2606,17.0401,-0.1516,-0.0445,Not cycling,0.5301,NPC/OPC,"",0.184239274,-0.511044085,yes
MGH54_P12_F12,MGH54,Malignant,4910,4.6984,18.3872,-0.1062,0.0511,Not cycling,0.4265,NPC Glioma,"",0.298832274,-0.754255636,yes
MGH54_P12_G01,MGH54,Malignant,5382,2.5549,18.4525,-0.2064,-0.0613,Not cycling,0.4143,NPC/OPC,"",0.21167028,-0.493494702,yes
MGH54_P12_G02,MGH54,Malignant,4992,2.5367,18.9508,0.5289,-0.243,Not cycling,0.6438,Cell Cycle - G1/S,"",0.659452923,-0.547689312,yes
MGH54_P12_G03,MGH54,Malignant,5151,3.9088,17.2235,-0.1735,0.0758,Not cycling,0.6721,Oligo Progenitor,"",0.955897392,-1.205562062,yes
MGH54_P12_G04,MGH54,Malignant,5292,3.3758,16.6915,0.0728,-0.0279,Not cycling,0.462,Respiration,"",0.715021773,-0.558860462,yes
MGH54_P12_G05,MGH54,Malignant,5310,-0.6282,5.1863,-0.0766,0.104,Not cycling,2.0708,Astrocytes,Astrocytes,-3.145669844,-3.258217039,yes
MGH54_P12_G06,MGH54,Malignant,4439,-0.2387,12.6123,0.1169,-0.1377,Not cycling,0.5535,Protein maturation,"",-0.654520012,-0.828837958,yes
MGH54_P12_G07,MGH54,Malignant,4748,-0.326,8.0291,-0.2385,0.0958,Not cycling,1.3525,Astrocytes,Astrocytes,-1.581631545,-2.026458373,yes
MGH54_P12_G08,MGH54,Malignant,6607,2.4897,19.6452,0.1045,-0.0648,Not cycling,0.7366,Oligo Progenitor,"",0.831957004,-1.496168306,yes
MGH54_P12_G09,MGH54,Malignant,5966,2.436,18.8822,-0.1913,0.1039,Not cycling,0.9344,Oligo Progenitor,"",0.585252683,-0.677278345,yes
MGH54_P12_G10,MGH54,Malignant,6327,1.2325,18.6326,-0.0227,-0.0773,Not cycling,0.6666,Oligo Progenitor,"",0.369804524,-0.769874623,yes
MGH54_P12_G11,MGH54,Malignant,6994,4.5492,17.625,1.2641,-0.0387,G1/S,1.2342,Cell Cycle - G1/S,"",0.095937824,1.340917943,yes
MGH54_P12_H01,MGH54,Malignant,4189,3.6523,4.6947,-0.0709,-0.0715,Not cycling,0.8257,Respiration,"",0.765677382,-0.710351758,yes
MGH54_P12_H02,MGH54,Malignant,4449,-1.1857,13.3024,0.1535,0.1378,Not cycling,1.5347,Astrocytes,Astrocytes,-1.184938219,-1.626526611,yes
MGH54_P12_H03,MGH54,Malignant,5302,4.5015,17.8597,0.0097,-0.007,Not cycling,0.4674,Chromatin,"",0.091407597,0.63956677,yes
MGH54_P12_H04,MGH54,Malignant,6630,4.1318,18.7889,-0.0716,-0.0468,Not cycling,0.5482,Translation initiation,"",0.568983917,-0.440298787,yes
MGH54_P12_H05,MGH54,Malignant,5666,2.5842,19.2331,-0.1345,0.2061,Not cycling,0.4251,IG,"",0.285300674,-0.537930822,yes
MGH54_P12_H06,MGH54,Malignant,6178,2.5048,19.6189,0.1536,-0.0755,Not cycling,0.4285,Oligo Progenitor,"",0.481029545,-0.874716095,yes
MGH54_P12_H07,MGH54,Malignant,5418,-1.1822,5.3609,-0.2788,-0.0935,Not cycling,2.0963,Astrocytes,Astrocytes,-2.62262666,-3.544810898,yes
MGH54_P12_H09,MGH54,Malignant,5570,2.083,18.7611,0.1169,0.018,Not cycling,1.0211,Astrocytes,Astrocytes,-1.30614588,-1.859529642,yes
MGH54_P12_H10,MGH54,Malignant,6202,5.0723,17.6878,0.0399,0.004,Not cycling,0.4578,Translation initiation,"",0.220914918,0.078900588,yes
MGH54_P12_H11,MGH54,Malignant,5883,4.4868,18.3345,-0.0416,0.1752,Not cycling,0.4929,Translation initiation,"",0.130839182,0.43091125,yes
MGH54_P9_A01,MGH54,Malignant,4262,3.8799,16.6847,-0.0909,-0.0224,Not cycling,0.7916,Respiration,"",0.523647366,-0.388905366,yes
MGH54_P9_A02,MGH54,Malignant,5576,-0.0682,15.7299,0.3523,0.06,Not cycling,0.5678,Oligo Progenitor,"",0.569334116,-0.944363414,yes
MGH54_P9_A03,MGH54,Malignant,6420,1.7644,17.4753,0.03,-0.0611,Not cycling,1.7244,Oligo Progenitor,Oligo Progenitor,1.95326726,-2.693249925,yes
MGH54_P9_A04,MGH54,Malignant,6068,-0.2064,17.7732,0.0192,0.004,Not cycling,1.0623,Oligo Progenitor,Oligo Progenitor,0.735638507,-1.254201835,yes
MGH54_P9_A05,MGH54,Malignant,5527,3.7116,14.9257,0.0595,0.0481,Not cycling,0.7282,Oligo Progenitor,"",1.190264219,-0.781803186,yes
MGH54_P9_A06,MGH54,Malignant,6059,-0.7475,5.4645,-0.0638,0.0472,Not cycling,2.2883,Astrocytes,Astrocytes,-2.97635341,-3.582728626,yes
MGH54_P9_A07,MGH54,Malignant,5463,4.9594,15.838,-0.0036,0.1078,Not cycling,0.9421,Respiration,"",0.491519498,-0.329979856,yes
MGH54_P9_A08,MGH54,Malignant,5324,0.2835,18.3232,-0.2538,0.0164,Not cycling,0.447,MYC,"",1.205204443,-1.54453574,yes
MGH54_P9_A09,MGH54,Malignant,5085,-0.1717,4.1263,-0.1798,-0.0937,Not cycling,2.5558,Astrocytes,Astrocytes,-3.496552221,-3.845362965,yes
MGH54_P9_A10,MGH54,Malignant,5245,0.7475,5.8181,0.0233,-0.1662,Not cycling,1.8838,Astrocytes,Astrocytes,-2.827687786,-3.234721329,yes
MGH54_P9_A11,MGH54,Malignant,5073,-0.1425,6.9496,-0.1326,-0.3128,Not cycling,1.8505,Astrocytes,Astrocytes,-2.640674653,-2.480281214,yes
MGH54_P9_A12,MGH54,Malignant,5825,0.4902,6.7542,-0.0098,-0.0245,Not cycling,1.5621,Stress,Stress,-1.700315794,-2.11502021,yes
MGH54_P9_B01,MGH54,Malignant,5623,-0.6119,17.4008,-0.0459,-0.048,Not cycling,0.39,Protein maturation,"",0.053205065,-0.353844048,yes
MGH54_P9_B02,MGH54,Malignant,5635,5.569,15.3779,-0.1539,0.0965,Not cycling,0.4855,MYC,"",0.1172695,-0.214819309,yes
MGH54_P9_B03,MGH54,Malignant,4243,1.1467,18.1864,-0.1426,0.1112,Not cycling,1.5446,Oligo Progenitor,Oligo Progenitor,1.399340063,-1.956483249,yes
MGH54_P9_B04,MGH54,Malignant,5109,-1.092,17.3715,0.1051,0.0385,Not cycling,0.552,NPC Glioma,"",0.842896004,-1.165495,yes
MGH54_P9_B05,MGH54,Malignant,4774,-0.0281,8.6502,-0.3155,0.194,Not cycling,1.9557,Astrocytes,Astrocytes,-2.012834718,-2.529277349,yes
MGH54_P9_B06,MGH54,Malignant,5825,0.1811,17.6241,-0.0193,0.0295,Not cycling,0.6876,Oligo Progenitor,"",0.644950516,-0.554738961,yes
MGH54_P9_B07,MGH54,Malignant,5377,3.698,15.5964,-0.2076,0.2342,Not cycling,0.4048,Translation initiation,"",0.023267567,0.11977616,yes
MGH54_P9_B10,MGH54,Malignant,5499,-1.1499,18.0436,0.08,-0.0927,Not cycling,0.5111,Oligo Progenitor,"",1.072111863,-1.5399272,yes
MGH54_P9_B11,MGH54,Malignant,5492,-0.7049,5.7264,0.0201,-0.0458,Not cycling,1.9595,Astrocytes,Astrocytes,-2.03771566,-2.518040188,yes
MGH54_P9_B12,MGH54,Malignant,5635,-0.2215,12.9757,0.0338,-0.0947,Not cycling,0.556,MYC,"",0.880702425,-1.377096806,yes
MGH54_P9_C01,MGH54,Malignant,3877,-1.0941,7.9446,0.1254,0.0982,Not cycling,1.1078,Astrocytes,Astrocytes,-1.188825823,-1.371034761,yes
MGH54_P9_C02,MGH54,Malignant,4707,3.478,17.345,-0.0743,0.0437,Not cycling,1.0538,Translation initiation,"",1.052373163,-1.10250212,yes
MGH54_P9_C03,MGH54,Malignant,4475,4.7708,14.2594,0.0225,-0.1102,Not cycling,0.5824,Oligo Progenitor,"",0.189810637,-0.303283965,yes
MGH54_P9_C04,MGH54,Malignant,4598,0.2508,6.8353,-0.0065,0.0367,Not cycling,1.9922,Astrocytes,Astrocytes,-2.041201819,-2.448074455,yes
MGH54_P9_C05,MGH54,Malignant,5744,0.3228,18.1927,0.0037,-0.0659,Not cycling,1.0109,Oligo Progenitor,Oligo Progenitor,1.178479009,-1.747859118,yes
MGH54_P9_C06,MGH54,Malignant,5717,0.9699,17.1544,-0.0314,-0.1522,Not cycling,0.4742,Protein maturation,"",0.550083525,-0.413335415,yes
MGH54_P9_C07,MGH54,Malignant,5918,-0.2791,5.8822,0.1228,0.1373,Not cycling,2.0104,Astrocytes,Astrocytes,-2.497527528,-3.074644365,yes
MGH54_P9_C08,MGH54,Malignant,5370,4.1568,16.0823,-0.2414,-0.0455,Not cycling,0.4176,Oligo Progenitor,"",0.055645544,0.089754135,yes
