cell_name,sample,cell_type,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment,Differentiation,Stemness,malignant
MGH36_P6_A12,MGH36,Macrophage,4990,-1.5964,-42.2737,0.305,-7e-04,Not cycling,,"","",,,no
MGH36_P6_H09,MGH36,Macrophage,3031,1.6463,-40.5586,0.1967,-0.0332,Not cycling,,"","",,,no
MGH53_P4_G04,MGH53,Macrophage,3842,3.7234,-40.4063,-0.0428,-0.1427,Not cycling,0.8545,MAC3,"",,,no
MGH36_P10_G12,MGH36,Macrophage,4312,-1.9666,-41.9987,-0.014,-0.1295,Not cycling,,"","",,,no
MGH53_P2_H12,MGH53,Macrophage,5549,-1.5769,-42.1286,-0.0918,-0.1182,Not cycling,3.6289,Monocyte/Secreted,Monocyte/Secreted,,,no
MGH53_P4_D10,MGH53,Macrophage,3274,1.5143,-41.158,0.1264,-0.0024,Not cycling,0.7844,Stress/HSP,"",,,no
MGH53_P4_D01,MGH53,Macrophage,3389,3.8458,-40.0108,-0.0194,-0.1246,Not cycling,0.7264,Lipid-associated,"",,,no
MGH36_P6_B07,MGH36,Macrophage,4062,3.5682,-40.1521,-0.1581,-0.023,Not cycling,,"","",,,no
MGH36_P10_B12,MGH36,Macrophage,5232,1.1019,-41.7356,-0.0375,-0.1906,Not cycling,,"","",,,no
MGH53_P2_G11,MGH53,Macrophage,4476,3.4173,-40.0637,0.0056,-0.0358,Not cycling,0.4957,Proteasomal degradation,"",,,no
MGH53_P1_E04,MGH53,Macrophage,5239,3.5917,-40.0625,-0.1767,0.0659,Not cycling,0.7649,Lipid-associated,"",,,no
MGH54_P2_C12,MGH54,Macrophage,5731,3.4118,-40.8405,-0.0299,-0.2398,Not cycling,,"","",,,no
MGH53_P4_B07,MGH53,Macrophage,4177,3.58,-40.6199,-0.1022,0.0604,Not cycling,1.12,MAC3,MAC3,,,no
MGH53_P4_F09,MGH53,Macrophage,4478,3.6279,-40.2985,-0.1336,0.0253,Not cycling,0.7193,MAC3,"",,,no
MGH36_P2_H11,MGH36,Macrophage,3775,2.2223,-40.4504,-0.096,0.0655,Not cycling,,"","",,,no
MGH36_P5_A11,MGH36,Macrophage,4262,2.3126,-40.5286,0.0512,0.0821,Not cycling,,"","",,,no
MGH53_P1_A09,MGH53,Macrophage,4921,3.5389,-40.4398,0.0245,0.0663,Not cycling,1.0452,MAC3,MAC3,,,no
MGH53_P2_B02,MGH53,Macrophage,4152,3.666,-40.3748,-0.0336,0.1947,Not cycling,1.4561,MAC3,MAC3,,,no
MGH53_P4_E04,MGH53,Macrophage,4287,3.3814,-40.1102,0.1134,0.0254,Not cycling,0.9699,Lipid-associated,"",,,no
MGH53_P4_D08,MGH53,Macrophage,4385,3.4089,-40.5323,0.0212,0.1829,Not cycling,0.5848,Stress/HSP,"",,,no
MGH36_P1_F07,MGH36,Macrophage,7012,-2.0316,-41.7772,-0.0644,0.0484,Not cycling,,"","",,,no
MGH53_P2_E11,MGH53,Macrophage,4360,3.8112,-40.735,0.0329,-0.0671,Not cycling,1.2813,MAC3,MAC3,,,no
MGH36_P1_G06,MGH36,Macrophage,4517,2.9767,-40.0615,-0.1018,-0.0225,Not cycling,,"","",,,no
MGH36_P6_F03,MGH36,Macrophage,3478,2.1127,-41.192,0.153,-0.1422,Not cycling,,"","",,,no
MGH54_P2_H06,MGH54,Macrophage,3647,3.7307,-40.8196,-0.2551,-0.0947,Not cycling,,"","",,,no
MGH36_P8_H12,MGH36,Macrophage,6352,-2.0043,-42.064,0.3091,0.0691,Not cycling,,"","",,,no
MGH53_P1_B06,MGH53,Macrophage,3847,3.6408,-40.2416,-0.0133,-0.0406,Not cycling,1.4568,Lipid-associated,"",,,no
MGH53_P4_F12,MGH53,Macrophage,3803,3.2781,-40.9334,0.1554,-0.1362,Not cycling,1.2048,MAC3,MAC3,,,no
MGH53_P4_G12,MGH53,Macrophage,4467,3.6642,-41.0564,-0.119,-0.1036,Not cycling,1.3183,Stress/HSP,Stress/HSP,,,no
MGH53_P2_E08,MGH53,Macrophage,5377,3.4063,-40.0826,0.6532,-0.0953,Not cycling,0.6985,Cell Cycle,"",,,no
MGH53_P1_F06,MGH53,Macrophage,4877,3.3782,-40.3149,0.0115,-0.0898,Not cycling,0.9418,Lipid-associated,"",,,no
MGH53_P1_D02,MGH53,Macrophage,3581,3.437,-44.2813,0.0389,0.1749,Not cycling,1.7343,Stress/HSP,Stress/HSP,,,no
MGH36_P9_D01,MGH36,Macrophage,4483,2.6289,-40.3269,-0.1379,0.1486,Not cycling,,"","",,,no
MGH36_P6_F02,MGH36,Macrophage,3858,2.2569,-40.7025,-0.0412,0.0624,Not cycling,,"","",,,no
MGH53_P2_E07,MGH53,Macrophage,3399,3.5321,-40.9498,-0.0968,-0.0375,Not cycling,1.5235,MAC3,MAC3,,,no
MGH53_P4_H08,MGH53,Macrophage,5218,3.4796,-39.9873,-0.0092,-0.0199,Not cycling,1.1248,Lipid-associated,"",,,no
MGH36_P6_F11,MGH36,Macrophage,4651,2.3886,-40.3857,0.0297,0.0589,Not cycling,,"","",,,no
MGH36_P8_C08,MGH36,Macrophage,5516,2.7787,-40.2163,-0.0205,-0.1132,Not cycling,,"","",,,no
MGH53_P2_D10,MGH53,Macrophage,4575,3.1666,-44.1681,-0.06,-0.0852,Not cycling,1.6229,Stress/HSP,Stress/HSP,,,no
MGH53_P4_D03,MGH53,Macrophage,4336,3.1303,-40.5306,0.0881,-0.0991,Not cycling,0.5215,Lipid-associated,"",,,no
MGH53_P2_C04,MGH53,Macrophage,5471,3.3087,-40.1657,-0.1261,-0.0502,Not cycling,0.6281,MAC3,"",,,no
MGH53_P1_E08,MGH53,Macrophage,4255,3.6388,-40.6422,0.233,-0.1414,Not cycling,0.8084,MAC3,"",,,no
MGH54_P2_A08,MGH54,Macrophage,4465,3.5277,-40.5489,-0.0501,-0.0605,Not cycling,,"","",,,no
MGH36_P4_H07,MGH36,Macrophage,3866,-0.9308,-41.9262,-0.0477,-0.0418,Not cycling,,"","",,,no
MGH36_P9_D06,MGH36,Macrophage,3661,-0.0576,-41.4333,0.0171,0.0714,Not cycling,,"","",,,no
MGH53_P4_C04,MGH53,Macrophage,3044,2.9933,-41.6443,-0.0494,0.0696,Not cycling,1.4549,Stress/HSP,Stress/HSP,,,no
MGH53_P1_E10,MGH53,Macrophage,4453,3.3844,-42.0821,0.2951,0.1192,Not cycling,1.6587,Stress/HSP,Stress/HSP,,,no
MGH53_P2_E09,MGH53,Macrophage,5368,3.4488,-39.9001,-0.0234,-0.053,Not cycling,0.9291,Lipid-associated,"",,,no
MGH36_P3_C10,MGH36,Macrophage,4738,-1.7926,-41.5082,0.0425,-0.0134,Not cycling,,"","",,,no
MGH53_P2_F01,MGH53,Macrophage,4310,3.1533,-41.6243,-0.0112,0.041,Not cycling,1.6692,Stress/HSP,Stress/HSP,,,no
MGH53_P4_H05,MGH53,Macrophage,3620,1.5945,-43.7667,-0.0199,-0.2374,Not cycling,1.0647,Stress/HSP,Stress/HSP,,,no
MGH53_P4_G10,MGH53,Macrophage,5266,3.4815,-40.3401,-0.0779,-0.1447,Not cycling,0.4373,MAC3,"",,,no
MGH54_P2_D07,MGH54,Macrophage,4487,3.6831,-40.776,0.0033,-0.1764,Not cycling,,"","",,,no
MGH53_P2_D09,MGH53,Macrophage,4823,3.1665,-41.6497,0.1649,0.1389,Not cycling,0.8403,Stress/HSP,"",,,no
MGH53_P1_D09,MGH53,Macrophage,4560,3.4179,-41.8451,-0.2825,-0.1938,Not cycling,2.3603,Stress/HSP,Stress/HSP,,,no
MGH54_P2_B08,MGH54,Macrophage,4445,3.5075,-40.7879,-0.2571,-0.022,Not cycling,,"","",,,no
MGH54_P2_G05,MGH54,Macrophage,4659,3.5395,-40.7947,-0.2488,-0.0418,Not cycling,,"","",,,no
MGH53_P2_F06,MGH53,Macrophage,4888,3.3148,-41.8135,-0.0163,-0.2085,Not cycling,0.923,MAC3,"",,,no
MGH36_P3_E01,MGH36,Macrophage,4139,-1.0154,-41.3651,-0.0167,0.0461,Not cycling,,"","",,,no
MGH36_P5_E12,MGH36,Macrophage,4144,0.638,-42.4639,0.0484,-0.0717,Not cycling,,"","",,,no
MGH53_P4_A12,MGH53,Macrophage,4218,2.5811,-43.9442,-0.0374,0.0967,Not cycling,2.3453,Stress/HSP,Stress/HSP,,,no
MGH36_P9_F01,MGH36,Macrophage,3115,1.8473,-41.2562,0.3032,0.036,Not cycling,,"","",,,no
MGH36_P3_H10,MGH36,Macrophage,4640,2.5732,-40.6174,0.0769,-0.0247,Not cycling,,"","",,,no
MGH36_P3_H02,MGH36,Macrophage,3069,1.9248,-40.7844,0.0949,0.0943,Not cycling,,"","",,,no
MGH36_P5_C10,MGH36,Macrophage,3980,2.1599,-42.0084,-0.0402,-0.0362,Not cycling,,"","",,,no
MGH54_P2_B05,MGH54,Macrophage,4883,1.3532,-45.4909,-0.0238,-0.0443,Not cycling,,"","",,,no
MGH36_P2_F09,MGH36,Macrophage,4483,-0.1825,-42.8531,-0.0173,0.0256,Not cycling,,"","",,,no
MGH53_P4_A05,MGH53,Macrophage,4049,3.2438,-42.2092,-0.0403,-0.0117,Not cycling,3.13,Stress/HSP,Stress/HSP,,,no
MGH54_P2_H10,MGH54,Macrophage,4315,2.64,-44.1948,-0.0251,0.0295,Not cycling,,"","",,,no
MGH53_P4_E06,MGH53,Macrophage,4087,3.1703,-42.3404,-0.1094,-0.0634,Not cycling,2.8574,Stress/HSP,Stress/HSP,,,no
MGH53_P4_D12,MGH53,Macrophage,4237,2.9388,-41.1591,0.1269,-0.042,Not cycling,1.3779,Stress/HSP,Stress/HSP,,,no
MGH54_P2_H07,MGH54,Macrophage,4170,2.7355,-44.8862,-0.1201,-0.1658,Not cycling,,"","",,,no
MGH53_P2_E03,MGH53,Macrophage,4539,3.2839,-44.4837,0.0029,0.0281,Not cycling,1.158,MAC3,MAC3,,,no
MGH53_P1_A05,MGH53,Macrophage,5414,2.789,-44.6962,0.0733,0.0225,Not cycling,0.9355,MAC3,"",,,no
MGH36_P7_D12,MGH36,Macrophage,3882,-0.3721,-41.2574,0.1765,-0.0095,Not cycling,,"","",,,no
MGH53_P4_H03,MGH53,Macrophage,3804,2.863,-41.9988,0.1325,3e-04,Not cycling,3.0707,Stress/HSP,Stress/HSP,,,no
MGH53_P2_E05,MGH53,Macrophage,4128,3.0452,-42.4658,-0.032,-0.2185,Not cycling,2.8028,Stress/HSP,Stress/HSP,,,no
MGH36_P4_H11,MGH36,Macrophage,3339,-0.612,-42.2528,-0.0327,0.0803,Not cycling,,"","",,,no
MGH53_P1_B01,MGH53,Macrophage,5042,2.0297,-45.5046,-0.0898,-0.0035,Not cycling,0.7182,Lipid-associated,"",,,no
MGH54_P2_G03,MGH54,Macrophage,3287,1.4465,-44.8206,-0.0248,0.0446,Not cycling,,"","",,,no
MGH53_P2_F12,MGH53,Macrophage,4497,2.4266,-45.4452,0.08,-0.0211,Not cycling,0.6076,MAC3,"",,,no
MGH36_P4_C09,MGH36,Macrophage,4451,-1.4626,-41.5084,0.0118,0.0767,Not cycling,,"","",,,no
MGH36_P5_C08,MGH36,Macrophage,5173,2.5237,-41.555,-0.0289,-0.1975,Not cycling,,"","",,,no
MGH36_P4_H06,MGH36,Macrophage,3775,-0.3195,-42.7164,0.0286,0.0124,Not cycling,,"","",,,no
MGH36_P10_E01,MGH36,Macrophage,3629,1.9517,-41.8569,0.126,-0.154,Not cycling,,"","",,,no
MGH36_P8_E12,MGH36,Macrophage,4813,-1.886,-41.6751,0.0628,0.2055,Not cycling,,"","",,,no
MGH53_P2_C10,MGH53,Macrophage,4946,3.2524,-42.4643,-0.2195,-0.0207,Not cycling,2.5445,Stress/HSP,Stress/HSP,,,no
MGH36_P4_H08,MGH36,Macrophage,4077,-1.4972,-41.5135,0.0219,-0.024,Not cycling,,"","",,,no
MGH36_P7_F07,MGH36,Macrophage,3913,-1.5126,-41.4822,0.0799,0.0091,Not cycling,,"","",,,no
MGH54_P2_A09,MGH54,Macrophage,5009,2.4658,-44.4281,0.1567,0.1555,Not cycling,,"","",,,no
MGH36_P6_H11,MGH36,Macrophage,3810,-1.1837,-42.0927,-0.0986,0.1054,Not cycling,,"","",,,no
MGH53_P2_E12,MGH53,Macrophage,3382,2.3657,-44.9536,0.06,-0.0735,Not cycling,1.0564,MAC3,MAC3,,,no
MGH53_P1_F08,MGH53,Macrophage,5379,3.0565,-45.0425,-0.1225,-0.1664,Not cycling,1.0719,Stress/HSP,Stress/HSP,,,no
MGH36_P6_D12,MGH36,Macrophage,5501,-1.6824,-42.407,0.1026,0.0204,Not cycling,,"","",,,no
MGH36_P2_H09,MGH36,Macrophage,4979,1.6633,-41.3193,0.0334,0.0494,Not cycling,,"","",,,no
MGH53_P1_C01,MGH53,Macrophage,4433,3.1645,-42.5788,0.1801,0.0115,Not cycling,1.5159,Stress/HSP,Stress/HSP,,,no
MGH53_P2_F11,MGH53,Macrophage,4366,3.127,-44.1327,0.0624,-0.1421,Not cycling,2.3405,Stress/HSP,Stress/HSP,,,no
MGH36_P6_H04,MGH36,Macrophage,4154,-0.0049,-41.4305,-0.0763,0.2295,Not cycling,,"","",,,no
MGH36_P5_G05,MGH36,Macrophage,4679,-1.461,-42.3605,0.0408,0.0148,Not cycling,,"","",,,no
MGH53_P4_B04,MGH53,Macrophage,4030,3.002,-41.7519,0.0038,-0.065,Not cycling,1.95,Stress/HSP,Stress/HSP,,,no
MGH53_P1_E05,MGH53,Macrophage,4515,2.7051,-44.2888,0.505,0.0104,Not cycling,1.2526,MAC3,MAC3,,,no
MGH36_P10_A08,MGH36,Macrophage,4710,-2.1749,-42.1601,-0.0149,-0.1031,Not cycling,,"","",,,no
MGH36_P9_G01,MGH36,Macrophage,4160,-2.0729,-41.5711,0.0459,-0.0248,Not cycling,,"","",,,no
MGH53_P4_A06,MGH53,Macrophage,4795,2.8588,-45.0289,-0.0881,0.1846,Not cycling,1.6356,MAC3,MAC3,,,no
MGH36_P6_B09,MGH36,Macrophage,3068,-0.761,-41.346,0.257,0.1006,Not cycling,,"","",,,no
MGH54_P2_D09,MGH54,Macrophage,4863,2.4659,-44.6986,0.0413,0.2246,Not cycling,,"","",,,no
MGH53_P1_E06,MGH53,Macrophage,4484,3.1817,-41.2602,-0.0105,0.3702,Not cycling,2.1004,Stress/HSP,Stress/HSP,,,no
MGH36_P4_A10,MGH36,Macrophage,4317,-1.4398,-41.424,0.074,0.1802,Not cycling,,"","",,,no
MGH36_P6_B02,MGH36,Macrophage,3941,-0.5918,-41.3679,0.0887,0.0747,Not cycling,,"","",,,no
MGH53_P4_G06,MGH53,Macrophage,4272,2.8743,-42.0393,0.0501,0.0471,Not cycling,1.196,MAC3,MAC3,,,no
MGH36_P8_F01,MGH36,Macrophage,4173,-1.7138,-41.533,0.0297,0.1965,Not cycling,,"","",,,no
MGH36_P9_F06,MGH36,Macrophage,4171,-1.9721,-41.7053,0.0737,0.1657,Not cycling,,"","",,,no
MGH36_P5_H04,MGH36,Macrophage,5270,-0.9541,-41.2753,-0.0489,0.0821,Not cycling,,"","",,,no
MGH53_P1_B03,MGH53,Macrophage,5114,2.0196,-45.7644,0.047,0.0421,Not cycling,1.4388,Proteasomal degradation,"",,,no
MGH53_P2_D05,MGH53,Macrophage,4834,3.2283,-44.7982,-0.0919,-0.105,Not cycling,1.4597,Monocyte/Secreted,Monocyte/Secreted,,,no
MGH36_P4_G12,MGH36,Macrophage,3925,-1.6424,-41.9853,-0.0271,-0.0699,Not cycling,,"","",,,no
MGH53_P2_D11,MGH53,Macrophage,4781,1.6248,-45.7484,0.1314,0.035,Not cycling,1.0367,Proteasomal degradation,"",,,no
MGH53_P4_C02,MGH53,Macrophage,4334,1.7167,-45.1284,0.1205,-0.0492,Not cycling,1.3483,MAC3,MAC3,,,no
MGH53_P4_F04,MGH53,Macrophage,4093,2.3426,-44.9171,-0.1648,0.0711,Not cycling,1.0832,MAC3,MAC3,,,no
MGH36_P3_D10,MGH36,Macrophage,4729,-1.8354,-41.7772,0.187,0.1056,Not cycling,,"","",,,no
MGH54_P2_F04,MGH54,Macrophage,3923,1.6312,-43.6846,-0.1151,-0.0284,Not cycling,,"","",,,no
MGH36_P6_A03,MGH36,Macrophage,4331,-0.5257,-41.372,0.0234,0.0115,Not cycling,,"","",,,no
MGH53_P1_F07,MGH53,Macrophage,5040,3.1373,-44.549,-0.1407,-0.006,Not cycling,1.1896,MAC3,MAC3,,,no
MGH36_P5_H08,MGH36,Macrophage,4176,-1.1821,-42.2883,0.0379,0.1165,Not cycling,,"","",,,no
MGH54_P2_A04,MGH54,Macrophage,4372,2.7362,-44.124,-0.1032,-0.0202,Not cycling,,"","",,,no
MGH53_P4_E11,MGH53,Macrophage,5813,2.1134,-45.3809,0.1613,-0.0681,Not cycling,1.208,MYC/Mitochondria,"",,,no
MGH53_P2_G03,MGH53,Macrophage,5527,3.1751,-44.6144,-0.2074,0.0973,Not cycling,1.1832,MAC3,MAC3,,,no
MGH36_P3_F04,MGH36,Macrophage,4686,-1.0917,-41.3249,0.061,-0.004,Not cycling,,"","",,,no
MGH54_P2_B02,MGH54,Macrophage,3158,2.5088,-44.796,0.0243,-0.0484,Not cycling,,"","",,,no
MGH36_P5_C07,MGH36,Macrophage,5747,-0.9593,-41.4594,-0.031,-0.1896,Not cycling,,"","",,,no
MGH53_P2_E02,MGH53,Macrophage,5241,2.3534,-45.0731,-0.1226,0.0155,Not cycling,1.0897,MAC3,MAC3,,,no
MGH54_P2_F09,MGH54,Macrophage,4288,2.1671,-44.8426,-0.0985,0.0419,Not cycling,,"","",,,no
MGH36_P3_D05,MGH36,Macrophage,4366,-1.5534,-41.4216,0.1622,0.0667,Not cycling,,"","",,,no
MGH36_P5_F12,MGH36,Macrophage,4318,-0.5513,-41.5939,0.216,-0.0597,Not cycling,,"","",,,no
MGH53_P2_H09,MGH53,Macrophage,4840,2.4584,-45.0563,-0.1452,-0.104,Not cycling,1.0992,MAC3,MAC3,,,no
MGH54_P2_F07,MGH54,Macrophage,4639,2.5346,-42.858,-0.0337,0.0678,Not cycling,,"","",,,no
MGH36_P5_D10,MGH36,Macrophage,4931,-0.4126,-41.2666,0.1796,9e-04,Not cycling,,"","",,,no
MGH54_P2_F11,MGH54,Macrophage,4345,1.7587,-44.6508,-0.0491,0.0864,Not cycling,,"","",,,no
MGH53_P2_H04,MGH53,Macrophage,4766,3.2177,-43.1881,0.1574,-0.1581,Not cycling,3.3907,Stress/HSP,Stress/HSP,,,no
MGH36_P6_F09,MGH36,Macrophage,4196,-1.1249,-42.0448,0.1655,0.0633,Not cycling,,"","",,,no
MGH36_P9_F05,MGH36,Macrophage,3728,0.1754,-42.3731,0.0929,-0.0616,Not cycling,,"","",,,no
MGH36_P8_G11,MGH36,Macrophage,4333,-1.7866,-41.7634,0.1957,-0.1233,Not cycling,,"","",,,no
MGH54_P2_A07,MGH54,Macrophage,4776,1.6111,-45.2594,-0.1582,0.1113,Not cycling,,"","",,,no
MGH36_P7_H06,MGH36,Macrophage,4218,-1.66,-42.0481,0.1031,0.1975,Not cycling,,"","",,,no
MGH53_P1_A01,MGH53,Macrophage,4669,2.2755,-44.7098,-0.0302,-0.0456,Not cycling,1.3049,MAC3,MAC3,,,no
MGH53_P1_A02,MGH53,Macrophage,4940,3.0877,-44.8769,-0.1448,-0.066,Not cycling,1.0706,MAC3,MAC3,,,no
MGH54_P2_E07,MGH54,Macrophage,4826,1.6485,-44.3398,-0.0369,0.122,Not cycling,,"","",,,no
MGH53_P4_F07,MGH53,Macrophage,4067,2.1052,-44.5072,0.027,-0.1401,Not cycling,0.6008,MAC3,"",,,no
MGH53_P2_C05,MGH53,Macrophage,4777,2.9308,-42.6121,-0.0065,0.0274,Not cycling,2.1203,Stress/HSP,Stress/HSP,,,no
MGH53_P4_H07,MGH53,Macrophage,3705,0.1473,-43.4129,-0.0452,0.0972,Not cycling,1.1769,MAC3,MAC3,,,no
MGH53_P2_C06,MGH53,Macrophage,5016,2.6136,-45.4975,-0.0063,-0.0935,Not cycling,1.016,MAC3,MAC3,,,no
MGH36_P3_F03,MGH36,Macrophage,4287,-1.602,-42.1793,0.0578,0.0077,Not cycling,,"","",,,no
MGH36_P2_A10,MGH36,Macrophage,5164,0.0162,-41.5375,0.1463,-0.0293,Not cycling,,"","",,,no
MGH53_P4_E03,MGH53,Macrophage,3834,1.4112,-45.446,0.138,0.1058,Not cycling,1.0993,MAC3,MAC3,,,no
MGH36_P9_D12,MGH36,Macrophage,3783,-1.2006,-41.9206,0.0029,0.1263,Not cycling,,"","",,,no
MGH54_P2_H03,MGH54,Macrophage,4141,1.3055,-44.8884,-0.1019,-0.0208,Not cycling,,"","",,,no
MGH36_P4_D06,MGH36,Macrophage,4372,-1.6954,-42.0055,0.0658,0.1054,Not cycling,,"","",,,no
MGH53_P2_B03,MGH53,Macrophage,5565,2.5987,-45.1704,-0.065,-0.0095,Not cycling,1.0799,MAC3,MAC3,,,no
MGH53_P4_F03,MGH53,Macrophage,4319,2.0908,-45.4608,0.1097,-0.0549,Not cycling,1.5209,MAC3,MAC3,,,no
MGH36_P10_E09,MGH36,Macrophage,3918,-2.0799,-42.1764,-0.0358,0.0027,Not cycling,,"","",,,no
MGH53_P1_G02,MGH53,Macrophage,4174,2.4159,-44.0563,-0.0062,0.0164,Not cycling,0.994,Stress/HSP,"",,,no
MGH54_P2_A02,MGH54,Macrophage,3960,2.2943,-44.7977,0.1265,-0.06,Not cycling,,"","",,,no
MGH36_P3_A07,MGH36,Macrophage,4502,-1.6339,-41.2683,0.0378,0.052,Not cycling,,"","",,,no
MGH53_P4_E12,MGH53,Macrophage,3983,0.8629,-44.2198,-0.1039,0.0712,Not cycling,1.5275,Monocyte/Secreted,Monocyte/Secreted,,,no
MGH54_P2_A03,MGH54,Macrophage,4306,1.7984,-45.2682,-0.0602,0.1712,Not cycling,,"","",,,no
MGH53_P4_E10,MGH53,Macrophage,4983,2.948,-41.561,0.0536,-0.0158,Not cycling,1.4295,Stress/HSP,Stress/HSP,,,no
MGH54_P2_D08,MGH54,Macrophage,4326,1.9396,-44.7547,-0.0438,-0.0209,Not cycling,,"","",,,no
MGH36_P8_A02,MGH36,Macrophage,3721,-0.4679,-41.994,-0.0462,-0.0313,Not cycling,,"","",,,no
MGH54_P2_B07,MGH54,Macrophage,4499,1.5698,-44.7498,-0.087,0.1418,Not cycling,,"","",,,no
MGH53_P1_B10,MGH53,Macrophage,4998,2.6924,-44.7215,0.0816,0.0211,Not cycling,1.2154,MAC3,MAC3,,,no
MGH53_P2_F08,MGH53,Macrophage,4557,2.2812,-45.5897,-0.0221,0.0797,Not cycling,1.2489,MAC3,MAC3,,,no
MGH36_P10_A01,MGH36,Macrophage,4701,-0.7401,-41.8318,0.0763,-0.0119,Not cycling,,"","",,,no
MGH36_P10_F01,MGH36,Macrophage,4557,-0.325,-41.8491,0.0732,-0.0311,Not cycling,,"","",,,no
MGH53_P4_G03,MGH53,Macrophage,4058,2.6344,-44.8144,-0.1581,-0.0953,Not cycling,1.0749,MAC3,MAC3,,,no
MGH53_P1_F12,MGH53,Macrophage,4231,1.9234,-45.5759,0.0574,0.1805,Not cycling,0.6486,MAC3,"",,,no
MGH36_P4_B03,MGH36,Macrophage,4037,-0.9977,-42.3228,0.1541,0.109,Not cycling,,"","",,,no
MGH54_P2_C07,MGH54,Macrophage,4496,1.8552,-44.9833,-0.1039,0.0556,Not cycling,,"","",,,no
MGH53_P1_B02,MGH53,Macrophage,4299,2.4211,-44.9418,-0.0809,-0.0753,Not cycling,0.6752,MAC3,"",,,no
MGH54_P2_D05,MGH54,Macrophage,4417,1.9438,-44.6843,0.1665,0.0371,Not cycling,,"","",,,no
MGH53_P2_C08,MGH53,Macrophage,4457,2.9164,-44.2128,-0.0741,0.0321,Not cycling,1.957,Stress/HSP,Stress/HSP,,,no
MGH53_P4_H09,MGH53,Macrophage,4842,1.7118,-45.5906,-0.0937,0.0379,Not cycling,0.9429,MAC3,"",,,no
MGH36_P8_H02,MGH36,Macrophage,3290,-0.0554,-41.8786,0.0879,-0.0777,Not cycling,,"","",,,no
MGH36_P10_H10,MGH36,Macrophage,3596,0.1302,-41.9736,0.0485,0.1002,Not cycling,,"","",,,no
MGH53_P1_A12,MGH53,Macrophage,4924,1.8623,-45.0445,-0.0593,-0.0106,Not cycling,1.5405,MAC3,MAC3,,,no
MGH36_P8_F08,MGH36,Macrophage,5040,-1.7434,-41.9744,-0.0361,-0.0134,Not cycling,,"","",,,no
MGH53_P1_D10,MGH53,Macrophage,4415,1.8944,-45.3838,-0.136,-0.0254,Not cycling,1.3659,MAC3,MAC3,,,no
MGH53_P4_A09,MGH53,Macrophage,4824,1.9082,-45.6713,0.0229,0.1795,Not cycling,0.9549,MAC3,"",,,no
MGH53_P2_H08,MGH53,Macrophage,3289,1.42,-45.0225,0.0801,-0.009,Not cycling,1.3976,Stress/HSP,Stress/HSP,,,no
MGH36_P4_A09,MGH36,Macrophage,4184,-1.8691,-42.4572,-0.0458,-0.062,Not cycling,,"","",,,no
MGH53_P4_C08,MGH53,Macrophage,4658,2.8284,-42.0855,-0.116,0.0184,Not cycling,1.8815,Stress/HSP,Stress/HSP,,,no
MGH36_P5_E04,MGH36,Macrophage,4854,-0.8768,-41.2858,0.2523,0.0455,Not cycling,,"","",,,no
MGH53_P2_A07,MGH53,Macrophage,4562,2.5508,-45.2774,0.0716,-0.0728,Not cycling,0.8956,Stress/HSP,"",,,no
MGH54_P2_G10,MGH54,Macrophage,4319,1.6922,-45.0648,-0.0666,-0.0503,Not cycling,,"","",,,no
MGH36_P7_E06,MGH36,Macrophage,3786,-0.3942,-42.6431,0.1244,0.0319,Not cycling,,"","",,,no
MGH36_P9_D04,MGH36,Macrophage,4879,-2.0014,-41.9376,0.1309,0.0807,Not cycling,,"","",,,no
MGH53_P1_C12,MGH53,Macrophage,4818,1.7003,-45.0734,0.0869,-0.1296,Not cycling,1.2165,Monocyte/Secreted,Monocyte/Secreted,,,no
MGH36_P8_F06,MGH36,Macrophage,4610,-2.101,-42.0277,-0.0562,-0.1157,Not cycling,,"","",,,no
MGH36_P1_G11,MGH36,Macrophage,5590,-1.8213,-41.8975,0.1974,-0.0209,Not cycling,,"","",,,no
MGH53_P1_F02,MGH53,Macrophage,4970,2.0363,-45.6312,-0.1349,-0.1147,Not cycling,1.3941,MAC3,MAC3,,,no
MGH54_P2_D10,MGH54,Macrophage,4187,1.4704,-44.7001,-0.142,0.0779,Not cycling,,"","",,,no
MGH36_P9_A08,MGH36,Macrophage,4168,-1.9881,-41.8861,-0.16,-0.0694,Not cycling,,"","",,,no
MGH53_P2_H03,MGH53,Macrophage,5115,1.9852,-44.8877,0.1356,0.1111,Not cycling,1.034,MAC3,MAC3,,,no
MGH53_P4_B03,MGH53,Macrophage,4205,2.2667,-44.9966,-0.0794,0.1744,Not cycling,1.6201,MAC3,MAC3,,,no
MGH53_P1_F10,MGH53,Macrophage,5119,2.5221,-45.3855,0.1805,-0.1467,Not cycling,1.1052,Monocyte/Secreted,Monocyte/Secreted,,,no
MGH53_P4_B05,MGH53,Macrophage,4506,2.5803,-45.043,-0.0362,-0.0199,Not cycling,1.2569,MAC3,MAC3,,,no
MGH53_P2_B08,MGH53,Macrophage,4186,2.0735,-45.2731,-0.112,-0.0196,Not cycling,1.2096,MAC3,MAC3,,,no
MGH36_P3_B06,MGH36,Macrophage,4230,-1.031,-41.5548,-0.0316,0.1193,Not cycling,,"","",,,no
MGH36_P10_C02,MGH36,Macrophage,4403,-0.7591,-41.9312,0.2116,-0.062,Not cycling,,"","",,,no
